Subject,Activity,Submission
Graphics and Visual Computing (LAB),Activity 2 ,"August 29, 2023 1:00 PM"
Object-Oriented Programming (LAB),Hello World ,"August 24, 2023 1:00 PM"
Object-Oriented Programming (LAB),Quiz 01 ,"August 24, 2023 1:00 PM"
Object-Oriented Programming (LAB),Activity 02 ,"August 30, 2023 1:00 PM"
Object-Oriented Programming (LAB),Activity 03 ,"September 6, 2023 1:00 PM"
Data Structures and Algorithms (LEC),Activity 1 - Origami ,"August 30, 2023 11:59 PM"
Data Structures and Algorithms (LEC),Activity 2 - Introduction to Data Structures and Algorithms ,"August 30, 2023 11:59 PM"
Data Structures and Algorithms (LAB),Activity 1 - Programming Exercises ,"August 24, 2023 7:00 PM"
Data Structures and Algorithms (LAB),Activity 2 - Learning Tasks Lesson 2 ,"September 13, 2023 11:59 PM"
Operating Systems (LEC),Activity 1 ,"September 15, 2023 11:59 PM"
Operating Systems (LAB),Activity 1 ,"September 1, 2023 11:59 PM"
Operating Systems (LAB),Activity 2: CMD Commands ,"September 15, 2023 11:59 PM"
Purposive Communication,Communication Model ,"September 3, 2023 11:59 PM"
Purposive Communication,QUIZ 1 ,"September 9, 2023 8:00 AM"
